State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,7:00,1/8/16,14:00,5.5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,8:00,1/8/16,15:00,4.3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,9:00,1/8/16,16:00,3.8,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,10:00,1/8/16,17:00,4.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,11:00,1/8/16,18:00,3,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,12:00,1/8/16,19:00,2.4,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,13:00,1/8/16,20:00,2.5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,14:00,1/8/16,21:00,4.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,15:00,1/8/16,22:00,2.5,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,16:00,1/8/16,23:00,2.6,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,17:00,1/9/16,0:00,3.1,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
49,35,3006,88101,4,40.736389,-111.872222,NAD83,PM2.5 - Local Conditions,1/8/16,18:00,1/9/16,1:00,2.8,Micrograms/cubic meter (LC),2,,QX,FEM,184,Thermo Scientific Model 5030 SHARP w/VSCC - Beta Attenuation,Utah,Salt Lake,4/22/16
